authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Rubus phoenicolasius Maxim.,Rubus phoenicolasius,NA,Japanese wineberry,shrub up to 4 m high,NA,shrub,4,"NZ Flora Online: bank, clay, coast, dry, flat , forest, gravel, gully, hill, log, lowland, margin, moist, open, pasture, roadside, sand, scrubland, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland",NA,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988; NZPCN,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988). dispersed by people and birds (NZPCN),"Japan: intact seeds of Rubus spp.  found in mammal droppings - bear, marten, badger, fox & racoon dog (Koike et al. 2008)",NA,NA,2022-06-08T00:00:00Z,45098,NA,1,1,0
Rubus polyanthemus Lindeb,Rubus polyanthemus,NA,blackberry,NA,NA,shrub,NA,"Flora: roadsides, damp pasture and scrub",NA,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,0.0029300000000000003,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,2023-06-21T00:00:00Z,NA,2023-06-21T00:00:00Z,1,1,0
Rubus ulmifolius Schott,Rubus ulmifolius,NA,blackberry,NA,NA,shrub,NA,"Flora: roadsides, streamsides, waste places, neglected pasture, hillsides, margins or forest and scrub",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,0.00252,internal,NA,internal,wind.none,NA,NA,NA,NA,Esler 1988; Debussche & Isenmann 1994; Mora & Smith-Ramirez 2016,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,"seed dispersed by birds and wind (Mora & Smith-Ramirez 2016); R. ulmifolius dispersed by birds in Mediterranean (cited in Kew SID: Debussche, M. & Isenmann, P. 1994. Bird-Dispersed Seed Rain and Seedling Establishment in Patchy Mediterranean Vegetation. Oikos, 69(3):414-426.). Rubus sp. dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016)",NA,NA,2023-06-21T00:00:00Z,NA,2023-06-21T00:00:00Z,2,1,1
Rubus vestitus Weihe,Rubus vestitus,NA,blackberry,NA,NA,shrub,NA,"Flora: hillsides, roadsides, waste places, damp forest margins, streamsides",riparian,fleshy aggregate of 1-seeded druplets,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988,Rubus spp. have succulent fruits which are dispersed by birds quite effectively (Esler 1988).,Rubus sp. dispersed by water birds bia both endo- and ectozoochory (Reynolds & Cumming 2016),NA,NA,NA,NA,NA,1,1,0
Rumex sagittatus Thunb.,Rumex sagittatus,NA,climbing dock,"creeper or low climber; papery, three-winged fruit; keel of nut almost winged",vine,shrub,NA,"NZ Flora Online: bank, clay, cliff, coast, flat , gravel, hill, open, pasture, ridge, riparian, roadside, rock outcrop, sand, shrubland, silt, stone, terrace, wasteland",riparian,nut,dry,winged fruit,0.0018352,wind,NA,wind,NA,NA,NA,NA,NA,"Esler 1988; SID, NZPCN","Wind dispersed (Esler 1988); Seeds are dispersed successfully by wing and germinate easily (Ermert and Clapp 1998, cited in NZPCN)","Wind; Diaspore is blown by wind; Method not stated; (Ridley, 1930, cited in SID); Diaspore=fruit. The diaspore has wings or wing-like features; Rumex sp. dispersed by water birds via endozoochory (Reynolds & Cumming 2016); R. acetosella seeds germinated from white-tailed deer faeces (Flaherty et al. 2018) and sheep faeces (Eichberg et al. 2007)",NA,NA,2022-06-08T00:00:00Z,45058,2022-06-23T00:00:00Z,1,1,0
Sagina procumbens L.,Sagina procumbens,NA,procumbent pearlwort,"stems procument or rarely ascending, 5-10 cm long; seeds not winged",NA,herb,0.1,NZPCN: damp sites,NA,capsule,dry,hard seed coat,2e-5,unspecialised,NA,internal,wind.none,NA,NA,NA,NA,"Welch 1985; Albert et al. 2015; Almeida et al. 2022, 2025",NA,"short distance wind dispersal; endochorous, hard seed coat, without pulp (Rosenthal 2006); seeds dispersal internally by deer (Albert et al. 2015). Seeds germinated from cattle, red deer, sheep, hare, rabbit and red grouse dung (Welch 1985). seeds ingested by waterfowl in Europe (Almeida et al. 2022) and North America (Almeida et al. 2025).",dispersal based on morphology,NA,2022-06-09T00:00:00Z,45058,2022-06-23T00:00:00Z,2,1,2
Salix cinerea L.,Salix cinerea,NA,grey willow,"shrub or small tree to c. 7m high, often only 1-2m; tiny seeds topped with a tuft of silky hairs",NA,tree,7,"NZ Flora Online: stream banks, and in marshes, bogs, and swamps; NZPCN: Swamps, fens, water body margins and disturbed places",riparian,capsule,dry,seeds topped with tufts of silky hairs,1.708e-4,wind,NA,wind,water,attachment,NA,NA,NA,Couvreur et al. 2004; Griffiths et al. 2018; NZPCN,"Seed dispersed by wind, water and contaminated machinery (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)); wind-dispersed (Griffiths et al. 2018)",seeds dispersed attached to cattle and donkey fur (Couvreur et al. 2004); Salix sp. seeds germinated from sheep faeces (Eichberg et al. 2007),NA,NA,2022-06-09T00:00:00Z,45058,2022-06-23T00:00:00Z,3,1,2
Salix ×fragilis L.,Salix xfragilis,Salix fragilis,crack willow,almost exclusively male in NZ; sometimes only a shrub,NA,tree,25,NZPCN: Riparian margins of water bodies.,riparian,capsule,dry,tiny seeds topped with a tuft of silky hairs; buoyant seed,1.4000000000000001e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,nearly all the trees are male (Webb et al. 1988); Stem fragments dispersed by water and contaminated machinery (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).,"Combination dispersal, wind + water; Method not stated. Diaspore=seed. The diaspore is buoyant (Young & Young 1992, cited by Kew SID); Salix sp. seeds germinated from sheep faeces (Eichberg et al. 2007)",NA,rare,2022-06-09T00:00:00Z,45058,2022-06-23T00:00:00Z,0,0,NA
Salix purpurea L.,Salix purpurea,NA,purple osier,shrub or small tree to about 8 m high (van Kraayenoord et al. 1995),shrub-tree,shrub,8,NZ Flora Online: riparian,riparian,capsule,dry,pappus,2.0999999999999998e-4,wind,NA,wind,water,NA,NA,NA,NA,van Kraayenoord et al. 1995,osier willows …become established easily from wind or water-borne seeds (van Kraayenoord et al. 1995),NA,dispersal based on morphology,NA,NA,NA,2023-10-03T00:00:00Z,2,1,1
Salpichroa origanifolia (Lam.) Baill.,Salpichroa origanifolia,NA,lily of the valley vine,scrambling,vine,shrub,NA,"Flora: disturbed scrub and other modified vegetation, waste places, roadsides, garden surrounds",NA,berry,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Reati et al. 2022,NA,seeds collected from bird faeces and germinated (Reati et al. 2022),NA,NA,2022-06-09T00:00:00Z,NA,NA,1,1,0
Sambucus nigra L.,Sambucus nigra,NA,elder,Shrub or small tree to  c. 6 m high. Snow & Snow report 2-4 seeds/fruit,shrub-tree,shrub,6,"NZ Flora Online: bank, cliff, coast, dry, forest, forest edge, grassland, gully, hill, lake margin, margin, moist, open, pasture, roadside, rock outcrop, sand, sheltered, shrubland, slope, stone, terrace, wasteland. NZPCN: coastal and lowland habitats (Timmins & MacKenzie 1995). The plant occurs in scrub and forest margin and modified plant communities (Timmins & MacKenzie 1995).",NA,drupe,fleshy,fleshy,0.009869999999999999,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Burrows 1995; Williams & Karl 1996; Atkinson 1997; Higgins et al. 2006; Spurr et al. 2011,the fruits are spread by birds (Webb et al. 1988). Bird dispersed (Burrows 1995); Fruits eaten by bellbirds (Spurr et al. 2011).,"England: most fruits eaten by starling, also eaten by blackbird & song thrush & other birds (Snow & Snow 1988). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).",NA,NA,2022-06-09T00:00:00Z,22/6/203,2023-06-22T00:00:00Z,1,1,0
Schinus terebinthifolia Raddi,Schinus terebinthifolia,Schinus terebinthifolius,Christmas berry,Not in Flora. shrub up to 3m high (NZPCN),NA,shrub,3,"NZPCN: currently in waste areas, but a problem weed of wetland and water body margins overseas",NA,drupe,fleshy,fleshy,0.01814,internal,NA,internal,ant,NA,NA,NA,NA,Higgins et al. 2006; Leal et al. 2007; NZPCN,Bird and mammal dispersed seed (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).,"seeds dispersed by ants (direct observation) (Leal, I.R., Wirth, R., & Tabarelli, M. 2007. Seed Dispersal by Ants in the Semi-arid Caatinga of North-east Brazil. Annals of Botany, 99:885-894). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).",NA,NA,2022-06-16T00:00:00Z,22/6/203,2023-06-22T00:00:00Z,2,1,1
Schoenoplectus californicus (C.A.Mey.) Soják,Schoenoplectus californicus,NA,Californian bulrush,"not in Flora; 1-3 (-4.2) m tall,  (NZPCN); Seeds of New Zealand plants sampled from Port Waikato, though viable, have not been observed to germinate in the wild (de Lange et al. 1998)",sedge,herb,3,NZPCN: Coastal river banks and estuaries,riparian,nut,aquatic,bristles on seeds,6.8e-4,attachment,NA,attachment,internal,NA,NA,NA,NA,Almeida et al. 2025; NZPCN,"Seed is viable, but seedlings have not been observed in the field. Movement of rhizome fragments by water is likely to be a major dispersal mechanism (de Lange et al. 1998). Seed is long-lived, the surrounding bristles readily attach themselves to feathers, fur and clothing (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).",Seeds ingested by waterfowl in North America (Almeida et al. 2025).,NA,NA,2022-06-09T00:00:00Z,45058,2023-05-12T00:00:00Z,2,1,1
Sedum acre L.,Sedum acre,NA,stonecrop,"often mat-forming; infl. terminal, <1.5cm long; < 10 cm high (Weedbusters)",NA,herb,0.09,"NZ Flora online: bank, cliff, coast, dry, gravel, open, ridge, roadside, rock outcrop, slope, stone, track; A plant that grows on gravel, shingle, sand, rocks and most light porous substrates from sea level to nearly 1500m (Webb et. al. 1988). A plant of coastal cliffs, behind beaches, on walls and banks, roadsides, riverbeds, railway tracks and embankments and waste places in and around settlements (Webb et. al. 1988)",riparian,follicle,dry,dust seeds,4e-5,unspecialised,NA,internal,wind.none,NA,NA,NA,NA,Esler 1988; Rosenthal 2006; Eichberg et al. 2007; Albert et al. 2015; Almeida et al. 2022; SID,very small (dust) seed weighing <0.1 mg (Esler 1988),"Water; Wetting by rain or dew; Direct or experimental observation; (van der Pijl, 1982); Unassisted dispersal also occurs. Diaspore=seed. The structure that contains the diaspores opens when wet. Fruits open when wetted by rain, dispersal is then unassisted. Short distance wind dispersal (Rosenthal 2006). Seeds dispersed internally by deer (sometimes; Albert et al. 2015); viable seeds dispersed in sheep faeces (Eichberg et al. 2007). seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-09T00:00:00Z,NA,2022-06-23T00:00:00Z,2,1,2
Sedum praealtum A.DC.,Sedum praealtum,NA,shrubby stonecrop,subshrub; mature seed not seen,NA,shrub,NA,"Herbarium specimens (AKL & WELT): coastal shingle slope; steep, rocky open bank",NA,follicle,dry,NA,2.4e-5,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,dispersal based on morphology,NA,2022-06-09T00:00:00Z,NA,2022-06-23T00:00:00Z,0,1,0
Selaginella kraussiana (Kunze) A.Braun,Selaginella kraussiana,NA,NA,NA,NA,NA,NA,NA,NA,spore,fern ally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-09T00:00:00Z,NA,NA,0,0,NA
Senecio angulatus L.fil.,Senecio angulatus,NA,Cape ivy,Seeds do not appear to be viable (Esler 1988),NA,NA,NA,NA,NA,achene,dry,pappus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETNZF: wind,NA,NA,none,2022-06-09T00:00:00Z,NA,NA,0,0,NA
Senecio elegans L.,Senecio elegans,NA,purple groundsel,herb 10-60cm tall,NA,herb,0.6,"NZPCN: sand dunes, river terraces",riparian,achene,dry,pappus,NA,wind,NA,wind,NA,NA,NA,NA,NA,NA,NA,"S. congestus: Wind; Diaspore is blown by wind; Direct or experimental observation; (van der Pijl, 1982, cited in Kew SID); Senecio squalidus wind dispersed, Method not stated (Matlack 1987, cited in Kew SID); S. albonervus and S. angulifolius: Diaspore is blown by wind; Direct or experimental observation; Diaspore is plumed (Vazquez & Givnish, 1998, cited in Kew SID); S. jacobaea: viable seeds dispersed attached to cattle, donkey and horse (Couvreur et al. 2004)",dispersal based on morphology,NA,2022-06-09T00:00:00Z,NA,2022-06-27T00:00:00Z,1,1,0
Senecio glastifolius L.fil.,Senecio glastifolius,NA,holly-leaved senecio,NA,NA,herb,1,"NZ Flora Online: bank, clay, cliff, coast, dry, gravel, gully, hill, lowland, margin, open, pasture, riverbed, roadside, rock outcrop, sand, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland; rocky banks with only interstitial soil, coarse river gravel, coastal scree, sandy substrate, sand dune swales and swamp margins (Williams et al. 1999).",riparian,achene,dry,pappus,4.816e-4,wind,NA,wind,NA,NA,NA,NA,NA,NA,NA,"S. congestus: Wind; Diaspore is blown by wind; Direct or experimental observation; (van der Pijl, 1982, cited in Kew SID); Senecio squalidus wind dispersed, Method not stated (Matlack 1987, cited in Kew SID); S. albonervus and S. angulifolius: Diaspore is blown by wind; Direct or experimental observation; Diaspore is plumed (Vazquez & Givnish, 1998, cited in Kew SID); S. jacobaea: viable seeds dispersed attached to cattle, donkey and horse (Couvreur et al. 2004)",dispersal based on morphology,NA,2022-06-09T00:00:00Z,NA,2022-06-27T00:00:00Z,1,1,0
Senecio skirrhodon DC.,Senecio skirrhodon,NA,gravel groundsel,herb 15-50cm tall,NA,herb,0.5,"Flora: coastal sites, waste sites, railway lines",NA,achene,dry,pappus,NA,wind,NA,wind,NA,NA,NA,NA,NA,NA,NA,"S. congestus: Wind; Diaspore is blown by wind; Direct or experimental observation; (van der Pijl, 1982, cited in Kew SID); Senecio squalidus wind dispersed, Method not stated (Matlack 1987, cited in Kew SID); S. albonervus and S. angulifolius: Diaspore is blown by wind; Direct or experimental observation; Diaspore is plumed (Vazquez & Givnish, 1998, cited in Kew SID); S. jacobaea: viable seeds dispersed attached to cattle, donkey and horse (Couvreur et al. 2004)",dispersal based on morphology,NA,2022-06-09T00:00:00Z,NA,2022-06-27T00:00:00Z,1,1,0
Senna septemtrionalis (Viv.) H.S.Irwin & Barneby,Senna septemtrionalis,NA,buttercup bush,shrub to 2 (-3)m high,NA,shrub,2,"NZ Flora Online:  bank, gap, gully, open, roadside, slope, track, wasteland",NA,pod,dry,explosively dehiscent pod,0.020030000000000003,ballistic,NA,ballistic,NA,NA,NA,NA,NA,West 1996,Senna spp. have no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988); ballistic (West 1996),"S. alata: Methods originating from parent plant or diaspore; Dispersal is delayed until some environmental cue; Direct or experimental observation; (van der Pijl, 1982, cited in Kew SID); Also dispersed by wind. The diaspore has wings or wing-like features. Diaspore dehisces explosively and is then wind dispersed. S. planitiicola: Unassisted; Seeds drop to the ground close to or beneath the parent plant; Assumption based upon diaspore morphology; (Jurado et al., 1991, cited in Kew SID)",NA,NA,2022-06-09T00:00:00Z,NA,2022-06-27T00:00:00Z,1,1,0
Setaria palmifolia (J.König) Stapf,Setaria palmifolia,NA,palm grass,culm 80-200cm; caryopsis not seen; very few bristles below spikelets; seed mass from Shiels 2011,grass,herb,2,"NZ Flora Online:  bank, clay, cliff, coast, dry, gorge, hill, lowland, montane, open, pasture, ridge, roadside, rock outcrop, sand, scrubland, shaded, sheltered, shrubland, silt, stone, terrace, track, wasteland; NZPCN: Disturbed and open forest, shrubland, herbfield, bare land",NA,caryopsis,dry,none,0.0015,unspecialised,NA,internal,water,NA,NA,NA,NA,Smith 1985; NZPCN,"Dispersed by dumped garden waste, soil and water movement (NZPCN). Setaria verticillata has barbed awns attached below the spikelet. When these engage in clothing or animal coats the whole inflorescence is carried away (Elser 1988, incl. illustration).","Setaria palmifolia: no obvious dispersal mechanism; black rats destroyed almost all seeds offered in captive trials (Shiels 2011); dispersed passively or by granivorous birds (Smith 1985); S. italica: plant included in waterfowl diet (incl. mallard; Reynolds et al. 2015); Setaria verticillata: Animal; Diaspore is carried accidentally; Direct or experimental observation; Mammals (non-bat).; The diaspore has spiny, spiky, hooked or barbed projections or awns. Diaspores are released as animal brushes infloresecence and many fall close to parent plant, rather than cling to fur (van Rheede van Oudtshoorn & van Rooyen, 1999, cited in Kew SID); ; S. viridis seeds germinated from sheep faeces (Eichberg et al. 2007)",NA,NA,2022-06-09T00:00:00Z,45062,2022-06-27T00:00:00Z,2,1,2
Setaria pumila (Poir.) Roem. & Schult.,Setaria pumila,Setaria helvola,yellow bristle grass,not in Flora or NZ Flora Online; Clayson's notes: mostly an agricultural pest,grass,herb,NA,NA,NA,caryopsis,dry,none,0.00133,unspecialised,NA,internal,NA,NA,NA,NA,NA,"Almeida et al. 2022, 2025",NA,seeds ingested by waterfowl in Europe (Almeida et al. 2022) and North America (Almeida et al. 2025).,dispersal based on morphology,NA,NA,NA,2022-06-27T00:00:00Z,1,1,1
Silybum marianum (L.) Gaertn.,Silybum marianum,NA,variegated thistle,0.5–2 m tall,NA,herb,2,NA,NA,achene,dry,"pappus, elaiosome",0.0242,wind,ant,wind,ant,attachment,internal,water,NA,Pemberton & Irving 1990; Harrington et al. 2011; Almeida et al. 2022; SID; NZPCN,"Most wind dispersal is probably within 10m of the plant. Seed can be spread in hay, by water, in mud, agricultural produce and grain, on machinery or animals (NZPCN). Seeds fed to goats viable and germinated after defecation (Harrington et al. 2011).","Wind; Diaspore is blown by wind; Method not stated; Mammals (non-bat).; Also dispersed by animals. Diaspore=achene; the seed has a pappus; achenes attach to fur of animals (Groves, 1996, cited in Kew SID). Seed has an elaiosome (Pemberton & Irving 1990). seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-09T00:00:00Z,45062,2022-06-27T00:00:00Z,5,2,4
Solanum dulcamara L.,Solanum dulcamara,NA,bittersweet,NA,NA,herb,NA,"NZ Flora Online: bank, clay, coast, dry, hill, log, margin, moist, open, pasture, peat, ridge, riparian, riverbed, roadside, rock outcrop, sand, shaded, sheltered, shrubland, stone, terrace, track, wasteland",riparian,berry,fleshy,fleshy,0.02644,internal,NA,internal,NA,NA,NA,NA,NA,Snow & Snow 1988; Albert et al. 2015; Green 2016; Almeida et al. 2022,NA,"England: fruits eaten by blackbird, song thrush, starling & other bird species (Snow & Snow 1988). Seeds dispersal internally by deer (sometimes; Albert et al. 2015); viable seeds germinated from gull and Canada goose faeces (Green 2016). Seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-09T00:00:00Z,NA,2023-06-22T00:00:00Z,1,1,0
Solanum laxum Spreng.,Solanum laxum,Solanum jasminoides,potato vine,"fruit probably uncommon (Webb et al. 1988); Esler (1988) says fails to set seed but Webb at al. (1988) described fruit and seed from NZ material. Clayson's notes: Fruit rarely produced, but very commonly cultivated. No records in DOC weeds app. Was formerly known as S. jasminoides.",NA,NA,NA,NA,NA,berry,fleshy,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fruit probably uncommon (Webb et al. 1988),"categorised as bird-dispersed, based on fruit size, colour, and shape  (Albuquerque et al. 2006); S. nigrum seeds dispersed by water birds via both endo- and ectozoochory (Reynolds & Cumming 2016).",NA,rare,2022-06-16T00:00:00Z,NA,NA,0,0,NA
